Part,Value,Device,Package,Description
A1,ARDUINO_PRO_NANO,ARDUINO_PRO_NANO,ARDUINO_PRO_NANO,SparkFun Arduino Pro Nano
C1,100n,CXXC10B5,XC10B5,X CAPACITOR
C2,100n,CXXC10B5,XC10B5,X CAPACITOR
C3,100n,C-EUC0805,C0805,CAPACITOR. European symbol
C4,10µ,CPOL-EUC/6032-28R,C/6032-28R,POLARIZED CAPACITOR. European symbol
C5,10µ,CPOL-EUC/6032-28R,C/6032-28R,POLARIZED CAPACITOR. European symbol
C6,10n,C-EUC0603,C0603,CAPACITOR. European symbol
C7,100n,C-EUC0805,C0805,CAPACITOR. European symbol
C8,10n,C-EUC0603,C0603,CAPACITOR. European symbol
C9,100n,C-EU025-025X050,C025-025X050,CAPACITOR. European symbol
D1,1N4148,DIODESOD-123,SOD-123,Diode
D2,1N4148,DIODESOD-123,SOD-123,Diode
D3,1N4148,DIODESOD-123,SOD-123,Diode
D4,1N4148,DIODESOD-123,SOD-123,Diode
IC1,MAX31855,MAX31855,SOIC8,
IC2,MAX31855,MAX31855,SOIC8,
IC3,LP298XS,LP298XS,SOT23-5L,
K1,S202S01,S202S01,S102S01,Low Height Type Solid State Relays SHARP
K2,S202S01,S202S01,S102S01,Low Height Type Solid State Relays SHARP
KK1,SK104-PAD,SK104-PAD,SK104-PAD,HEATSINK manufacturer Fischer/distributor Buerklin
KK2,SK104-PAD,SK104-PAD,SK104-PAD,HEATSINK manufacturer Fischer/distributor Buerklin
OC1,H11AA1,H11AA1,DIL06,General Purpose 6-Pin Phototransistor Optocouplers
R1,100R,R-EU_0207/5V,0207/5V,RESISTOR. European symbol
R2,100R,R-EU_0207/5V,0207/5V,RESISTOR. European symbol
R3,120R,R-EU_R0603,R0603,RESISTOR. European symbol
R4,120R,R-EU_R0603,R0603,RESISTOR. European symbol
R5,47k,R-EU_0207/5V,0207/5V,RESISTOR. European symbol
R6,47k,R-EU_0207/5V,0207/5V,RESISTOR. European symbol
R8,10k,R-EU_R0603,R0603,RESISTOR. European symbol
R9,10k,R-EU_R0603,R0603,RESISTOR. European symbol
R10,10k,R-EU_R0603,R0603,RESISTOR. European symbol
R11,10k,R-EU_R0603,R0603,RESISTOR. European symbol
AC,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
FAN,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
HT,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
TC1,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
TC2,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
VCC,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN1.5/2-5.08,MKDSN 1.5/ 2-5.08 Printklemme
ENC,,PINHD-1X4,1X04,PIN HEADER
LCD,,PINHD-2X5,2X05,PIN HEADER
